Degree;Field;Study_program;University;City
Master Degree;Law, Economics and Social Sciences;Labour Policies and Globalisation;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Master in International Business (MIB);HTW Berlin University of Applied Sciences;Berlin
Master Degree;Law, Economics and Social Sciences;Master's in Construction and Real Estate Management (ConREM);HTW Berlin University of Applied Sciences;Berlin
Master Degree;Law, Economics and Social Sciences;Master of Arts: Sociology – European Societies;Freie Universitaet Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;International Finance;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;International Business & Consulting - International Strategic Management;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;International Business & Consulting - International Human Resource Management;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Master's in Global History;Freie Universitaet Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Business Intelligence and Process Management (MSc);Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Urban Design Master's Programme;Technische Universitaet Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Global Supply Chain and Operations Management;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;International Economics;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Political Economy of European Integration;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;FACT – Finance, Accounting, Controlling and Taxation;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Master's in Economics and Management Science (MEMS);Humboldt-Universitaet zu Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Master of Science in Business Administration;Humboldt-Universitaet zu Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;International Security Management;Hochschule fuer Wirtschaft und Recht Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Master of Science in Economics;Humboldt-Universitaet zu Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Interdisciplinary Studies of the Middle East (ISME);Freie Universitaet Berlin;Berlin
Master Degree;Law, Economics and Social Sciences;Master's in Sociology;Bielefeld University;Bielefeld
Master Degree;Law, Economics and Social Sciences;Quantitative Economics;Bielefeld University;Bielefeld
Master Degree;Law, Economics and Social Sciences;World Studies: Orders, Politics, Cultures;Bielefeld University;Bielefeld
Master Degree;Law, Economics and Social Sciences;Master of Science in Environmental Sustainability;Bingen Technical University of Applied Sciences;Bingen am Rhein
Master Degree;Law, Economics and Social Sciences;Master of Arts in Development Management;Ruhr-Universitaet Bochum;Bochum
Master Degree;Law, Economics and Social Sciences;Master's in European Culture and Economy (ECUE);Ruhr-Universitaet Bochum;Bochum
Master Degree;Law, Economics and Social Sciences;Master of Arts Programme in Ethics – Economics, Law and Politics;Ruhr-Universitaet Bochum;Bochum
Master Degree;Law, Economics and Social Sciences;Religious Studies;Ruhr-Universitaet Bochum;Bochum
Master Degree;Law, Economics and Social Sciences;Economics;University of Bonn;Bonn
Master Degree;Law, Economics and Social Sciences;Geography of Environmental Risks and Human Security;University of Bonn;Bonn
Master Degree;Law, Economics and Social Sciences;Agricultural and Food Economics (AFECO);University of Bonn;Bonn
Master Degree;Law, Economics and Social Sciences;Dependency and Slavery Studies;University of Bonn;Bonn
Master Degree;Law, Economics and Social Sciences;North American Studies (NAS);University of Bonn;Bonn
Master Degree;Law, Economics and Social Sciences;Slavery Studies;University of Bonn;Bonn
Master Degree;Law, Economics and Social Sciences;Strategy and International Security (MSIS);University of Bonn;Bonn
Master Degree;Law, Economics and Social Sciences;MA International Relations: Global Politics and Social Theory;University of Bremen;Bremen
Master Degree;Law, Economics and Social Sciences;Transnational Law;University of Bremen;Bremen
Master Degree;Law, Economics and Social Sciences;Applied AI for Digital Production Management, MEng;Deggendorf Institute of Technology;Cham
Master Degree;Law, Economics and Social Sciences;Environmental and Resource Management (MSc);Brandenburg University of Technology Cottbus-Senftenberg;Cottbus
Master Degree;Law, Economics and Social Sciences;Heritage Conservation and Site Management;Brandenburg University of Technology Cottbus-Senftenberg;Cottbus
Master Degree;Law, Economics and Social Sciences;Data and Discourse Studies;Technical University of Darmstadt;Darmstadt
Master Degree;Law, Economics and Social Sciences;European Master's in Project Management (EuroMPM);Dortmund University of Applied Sciences and Arts;Dortmund
Master Degree;Law, Economics and Social Sciences;Urban Transformation;TU Dortmund University;Dortmund
Master Degree;Law, Economics and Social Sciences;Religion, Ethics, and Politics;TU Dortmund University;Dortmund
Master Degree;Law, Economics and Social Sciences;Econometrics;TU Dortmund University;Dortmund
Master Degree;Law, Economics and Social Sciences;German Business Culture and International Management (MA);HTW Dresden - University of Applied Sciences;Dresden
Master Degree;Law, Economics and Social Sciences;Transportation Economics;Technische Universitaet Dresden;Dresden
Master Degree;Law, Economics and Social Sciences;Mathematics in Business and Economics;Technische Universitaet Dresden;Dresden
Master Degree;Law, Economics and Social Sciences;Public and International Economics;Technische Universitaet Dresden;Dresden
Master Degree;Law, Economics and Social Sciences;Master of Arts in Contemporary East Asian Studies (MA CEAS);University of Duisburg-Essen;Duisburg
Master Degree;Law, Economics and Social Sciences;Master of Arts in Modern East Asian Studies (MA MEAS);University of Duisburg-Essen;Duisburg
Master Degree;Law, Economics and Social Sciences;Economics;Heinrich Heine University Duesseldorf;Duesseldorf
Master Degree;Law, Economics and Social Sciences;Global Change Management (GCM);Eberswalde University for Sustainable Development;Eberswalde
Master Degree;Law, Economics and Social Sciences;Forestry System Transformation (FST);Eberswalde University for Sustainable Development;Eberswalde
Master Degree;Law, Economics and Social Sciences;Biosphere Reserves Management (BIOM);Eberswalde University for Sustainable Development;Eberswalde
Master Degree;Law, Economics and Social Sciences;International Relations (MIB);Catholic University of Eichstaett-Ingolstadt;Eichstaett
Master Degree;Law, Economics and Social Sciences;Master's in Industrial Informatics – Specialisation Industrial Cyber-Physical Systems;Hochschule Emden/Leer - University of Applied Sciences;Emden
Master Degree;Law, Economics and Social Sciences;Global Communication: Politics and Society;University of Erfurt;Erfurt
Master Degree;Law, Economics and Social Sciences;MA Development Economics and International Studies (DEIS);FAU Erlangen-Nuernberg;Erlangen
Master Degree;Law, Economics and Social Sciences;Standards of Decision-Making Across Cultures (SDAC);FAU Erlangen-Nuernberg;Erlangen
Master Degree;Law, Economics and Social Sciences;Master of Arts in European Studies;Europa-Universitaet Flensburg;Flensburg
Master Degree;Law, Economics and Social Sciences;International Business Administration;European University Viadrina;Frankfurt (Oder)
Master Degree;Law, Economics and Social Sciences;Master of Digital Entrepreneurship;European University Viadrina;Frankfurt (Oder)
Master Degree;Law, Economics and Social Sciences;Master's in Modern East Asian Studies (MEAS);Goethe University Frankfurt;Frankfurt am Main
Master Degree;Law, Economics and Social Sciences;Master of Science with Tracks in Quantitative Accounting, Quantitative Economics, Quantitative Finance and Quantitative Marketing (MSQ);Goethe University Frankfurt;Frankfurt am Main
Master Degree;Law, Economics and Social Sciences;Global Logistics;Frankfurt University of Applied Sciences;Frankfurt am Main
Master Degree;Law, Economics and Social Sciences;Master of Sustainable Mining and Remediation Management (MoRe);TU Bergakademie Freiberg;Freiberg
Master Degree;Law, Economics and Social Sciences;International Business and Resources in Emerging Markets;TU Bergakademie Freiberg;Freiberg
Master Degree;Law, Economics and Social Sciences;Sustainable Resource Management;Technical University Munich;Freising
Master Degree;Law, Economics and Social Sciences;International Management of Forest Industries;Weihenstephan-Triesdorf University of Applied Sciences;Freising
Master Degree;Law, Economics and Social Sciences;International Food Business and Consumer Studies (IFBC);Fulda University of Applied Sciences;Fulda
Master Degree;Law, Economics and Social Sciences;International Management;Fulda University of Applied Sciences;Fulda
Master Degree;Law, Economics and Social Sciences;Human Rights Studies in Politics, Law and Society;Fulda University of Applied Sciences;Fulda
Master Degree;Law, Economics and Social Sciences;Mathematical Finance and Actuarial Science;Technical University Munich;Garching b. Muenchen
Master Degree;Law, Economics and Social Sciences;Transition Management;Justus Liebig University Giessen;Giessen
Master Degree;Law, Economics and Social Sciences;Sustainable Transition;Justus Liebig University Giessen;Giessen
Master Degree;Law, Economics and Social Sciences;Modern Indian Studies;University of Goettingen;Goettingen
Master Degree;Law, Economics and Social Sciences;History of Global Markets (MA);University of Goettingen;Goettingen
Master Degree;Law, Economics and Social Sciences;Economics: Data Science and Policy;Martin Luther University Halle-Wittenberg;Halle (Saale)
Master Degree;Law, Economics and Social Sciences;Master's in Innovation, Business and Sustainability (MIBAS);Universitaet Hamburg;Hamburg
Master Degree;Law, Economics and Social Sciences;Master of Science in Economics;Universitaet Hamburg;Hamburg
Master Degree;Law, Economics and Social Sciences;Master of Science in Politics, Economics and Philosophy;Universitaet Hamburg;Hamburg
Master Degree;Law, Economics and Social Sciences;Religion in the Public Sphere (Double Degree Option);Leibniz Universitaet Hannover;Hannover
Master Degree;Law, Economics and Social Sciences;Master in Management (MSc) – Heilbronn;Technical University Munich;Heilbronn
Master Degree;Law, Economics and Social Sciences;Global Management (MA);Hof University of Applied Sciences;Hof
Master Degree;Law, Economics and Social Sciences;Sustainable Water Management and Engineering;Hof University of Applied Sciences;Hof
Master Degree;Law, Economics and Social Sciences;Master's in Media and Communication Science;Technische Universitaet Ilmenau;Ilmenau
Master Degree;Law, Economics and Social Sciences;Master's in Automotive Production Engineering (MAPE);Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Law, Economics and Social Sciences;Retail and Consumer Management;Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Law, Economics and Social Sciences;Business and Psychology;Catholic University of Eichstaett-Ingolstadt;Ingolstadt
Master Degree;Law, Economics and Social Sciences;Business Administration, Specialisation in Entrepreneurship & Innovation;Catholic University of Eichstaett-Ingolstadt;Ingolstadt
Master Degree;Law, Economics and Social Sciences;Business Administration, Specialisation in International Business Administration;Catholic University of Eichstaett-Ingolstadt;Ingolstadt
Master Degree;Law, Economics and Social Sciences;Engineering and Management;Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Law, Economics and Social Sciences;Global Foresight and Technology Management;Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Law, Economics and Social Sciences;Business Administration, Specialisation in Digital Customer Experience & Service Design;Catholic University of Eichstaett-Ingolstadt;Ingolstadt
Master Degree;Law, Economics and Social Sciences;Design Leadership (MSc);Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Law, Economics and Social Sciences;Global Business;Technische Hochschule Ingolstadt;Ingolstadt
Master Degree;Law, Economics and Social Sciences;Master of Science in Economics;Friedrich Schiller University Jena;Jena
Master Degree;Law, Economics and Social Sciences;Master of Science in Business Mathematics;Friedrich Schiller University Jena;Jena
Master Degree;Law, Economics and Social Sciences;Master of Arts in International Organisations and Crisis Management;Friedrich Schiller University Jena;Jena
Master Degree;Law, Economics and Social Sciences;Master of Science in Cognitive Science;RPTU University of Kaiserslautern-Landau;Kaiserslautern
Master Degree;Law, Economics and Social Sciences;Actuarial and Financial Mathematics;RPTU University of Kaiserslautern-Landau;Kaiserslautern
Master Degree;Law, Economics and Social Sciences;Information Engineering and Computer Science, MSc;Rhine-Waal University of Applied Sciences;Kamp-Lintfort
Master Degree;Law, Economics and Social Sciences;International Management and Psychology, MSc;Rhine-Waal University of Applied Sciences;Kamp-Lintfort
Master Degree;Law, Economics and Social Sciences;Global Political Economy and Development (MA GPED);University of Kassel;Kassel
Master Degree;Law, Economics and Social Sciences;Labour Policies and Globalisation;University of Kassel;Kassel
Master Degree;Law, Economics and Social Sciences;Economic Behaviour & Governance (EB&Go);University of Kassel;Kassel
Master Degree;Law, Economics and Social Sciences;Global Business Development;Kempten University of Applied Sciences;Kempten (Allgaeu)
Master Degree;Law, Economics and Social Sciences;Master of Science in Quantitative Economics;Kiel University;Kiel
Master Degree;Law, Economics and Social Sciences;Master of Science in Economics;Kiel University;Kiel
Master Degree;Law, Economics and Social Sciences;Master of Science in Quantitative Finance;Kiel University;Kiel
Master Degree;Law, Economics and Social Sciences;Master of Science in Environmental and Resource Economics;Kiel University;Kiel
Master Degree;Law, Economics and Social Sciences;Master of Science in Mathematical Finance;Kiel University;Kiel
Master Degree;Law, Economics and Social Sciences;Economics and Finance, MSc;Rhine-Waal University of Applied Sciences;Kleve
Master Degree;Law, Economics and Social Sciences;Biological Resources MSc;Rhine-Waal University of Applied Sciences;Kleve
Master Degree;Law, Economics and Social Sciences;Sustainable Development Management, MA;Rhine-Waal University of Applied Sciences;Kleve
Master Degree;Law, Economics and Social Sciences;Web and Data Science (MSc);University of Koblenz;Koblenz
Master Degree;Law, Economics and Social Sciences;Food Quality and Safety;University of Bayreuth;Kulmbach
Master Degree;Law, Economics and Social Sciences;Global Food, Nutrition and Health;University of Bayreuth;Kulmbach
Master Degree;Law, Economics and Social Sciences;Integrated Water Resources Management (MSc Joint Exchange Programme, Focus on Middle East and Northern Africa);TH Koeln (University of Applied Sciences);Koeln
Master Degree;Law, Economics and Social Sciences;International Business (Master of Arts);TH Koeln (University of Applied Sciences);Koeln
Master Degree;Law, Economics and Social Sciences;International Management (CEMS MIM) – Master of Science;University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;Double Master's Programme in Business Administration - Master of Science;University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;Business Administration (Master of Science) - Major: Accounting & Taxation, Corporate Development, Finance, Marketing or Supply Chain Management;University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;Economics – Master of Science;University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;Double Master's Programme in Economics - Master of Science;University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;Political Science – Master of Arts;University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;Sociology and Social Research - Master of Science;University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;MSc Sport Management;German Sport University Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;MA International Sport Development and Politics;German Sport University Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;Economic Research – Master of Science;University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;Culture and Environment in Africa;University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;Master's in Sociology – Social and Economic Psychology (Master of Science);University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;Master's in Business Analytics & Econometrics – Master of Science;University of Cologne;Koeln
Master Degree;Law, Economics and Social Sciences;International Master's in Biomedical Engineering (BME);Anhalt University of Applied Sciences;Koethen / Anhalt
Master Degree;Law, Economics and Social Sciences;Maritime Operations;Hochschule Emden/Leer - University of Applied Sciences;Leer (Ostfriesland)
Master Degree;Law, Economics and Social Sciences;Arqus Joint Master's Programme in European Studies;Leipzig University;Leipzig
Master Degree;Law, Economics and Social Sciences;Master of Arts African Studies;Leipzig University;Leipzig
Master Degree;Law, Economics and Social Sciences;Buddhist Studies and Contemplative Traditions MA;Leipzig University;Leipzig
Master Degree;Law, Economics and Social Sciences;Public Economics, Law and Politics (MA);Leuphana University Lueneburg;Lueneburg
Master Degree;Law, Economics and Social Sciences;Management & Data Science (MSc);Leuphana University Lueneburg;Lueneburg
Master Degree;Law, Economics and Social Sciences;Sustainability Science (MSc);Leuphana University Lueneburg;Lueneburg
Master Degree;Law, Economics and Social Sciences;Management & Sustainable Accounting and Finance (MSc);Leuphana University Lueneburg;Lueneburg
Master Degree;Law, Economics and Social Sciences;Cultural Studies: Culture and Organisation (MA);Leuphana University Lueneburg;Lueneburg
Master Degree;Law, Economics and Social Sciences;Management & Entrepreneurship (MSc);Leuphana University Lueneburg;Lueneburg
Master Degree;Law, Economics and Social Sciences;Financial Economics (FINEC);Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Law, Economics and Social Sciences;European Studies (MA);Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Law, Economics and Social Sciences;Peace and Conflict Studies;Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Law, Economics and Social Sciences;International Management, Marketing, Entrepreneurship (IMME);Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Law, Economics and Social Sciences;Operations Research and Business Analytics (ORBA);Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Law, Economics and Social Sciences;Economic Policy Analysis;Otto von Guericke University Magdeburg;Magdeburg
Master Degree;Law, Economics and Social Sciences;Master of Arts in International Business (MAIB);Mainz University of Applied Sciences;Mainz
Master Degree;Law, Economics and Social Sciences;Human Geography: Globalisation, Media, and Culture;Johannes Gutenberg University Mainz;Mainz
Master Degree;Law, Economics and Social Sciences;Master of Science in International Economics and Public Policy;Johannes Gutenberg University Mainz;Mainz
Master Degree;Law, Economics and Social Sciences;Master of Science in Quantitative Decision Making in Economics and Management (QDEM);Johannes Gutenberg University Mainz;Mainz
Master Degree;Law, Economics and Social Sciences;Economics of the Middle East (EMEA);Philipps-Universitaet Marburg;Marburg
Master Degree;Law, Economics and Social Sciences;Economics and Institutions (MSc);Philipps-Universitaet Marburg;Marburg
Master Degree;Law, Economics and Social Sciences;International Political Economy (MSc Double Degree);Philipps-Universitaet Marburg;Marburg
Master Degree;Law, Economics and Social Sciences;Business Informatics (MSc);Philipps-Universitaet Marburg;Marburg
Master Degree;Law, Economics and Social Sciences;Business Mathematics (MSc);Philipps-Universitaet Marburg;Marburg
Master Degree;Law, Economics and Social Sciences;Management of Textile Trade and Technology, Master of Science;Hochschule Niederrhein - University of Applied Sciences;Moenchengladbach
Master Degree;Law, Economics and Social Sciences;International Management, Master of Arts;Hochschule Niederrhein - University of Applied Sciences;Moenchengladbach
Master Degree;Law, Economics and Social Sciences;Master of Science in Economics;Ludwig-Maximilians-Universitaet Muenchen;Muenchen
Master Degree;Law, Economics and Social Sciences;Master's in Management (MSc);Technical University Munich;Muenchen
Master Degree;Law, Economics and Social Sciences;Science and Technology Studies;Technical University Munich;Muenchen
Master Degree;Law, Economics and Social Sciences;Master in Quantitative Economics;Ludwig-Maximilians-Universitaet Muenchen;Muenchen
Master Degree;Law, Economics and Social Sciences;Master of Science in Management and Digital Technologies;Ludwig-Maximilians-Universitaet Muenchen;Muenchen
Master Degree;Law, Economics and Social Sciences;Master's in Management & Technology (MSc);Technical University Munich;Muenchen
Master Degree;Law, Economics and Social Sciences;Responsibility in Science, Engineering and Technology (RESET) (MA);Technical University Munich;Muenchen
Master Degree;Law, Economics and Social Sciences;Master's in Consumer Science (MSc);Technical University Munich;Muenchen
Master Degree;Law, Economics and Social Sciences;Entrepreneurship and Digital Transformation;Hochschule Muenchen University of Applied Sciences;Muenchen
Master Degree;Law, Economics and Social Sciences;Finance and Information Management (FIM);Technical University Munich;Muenchen
Master Degree;Law, Economics and Social Sciences;Master of Science in Information Systems;University of Muenster;Muenster
Master Degree;Law, Economics and Social Sciences;Social Anthropology / Sozialanthropologie;University of Muenster;Muenster
Master Degree;Law, Economics and Social Sciences;Master International Marketing and Sales;FH Muenster University of Applied Sciences;Muenster
Master Degree;Law, Economics and Social Sciences;Business Development;University of Muenster;Muenster
Master Degree;Law, Economics and Social Sciences;Master's in International Finance and Economics (MSc);Technische Hochschule Nuernberg Georg Simon Ohm;Nuernberg
Master Degree;Law, Economics and Social Sciences;Master of Science (MSc) in International Business Studies (MIBS);FAU Erlangen-Nuernberg;Nuernberg
Master Degree;Law, Economics and Social Sciences;Master in International Marketing (MA);Technische Hochschule Nuernberg Georg Simon Ohm;Nuernberg
Master Degree;Law, Economics and Social Sciences;Economics (MSE);FAU Erlangen-Nuernberg;Nuernberg
Master Degree;Law, Economics and Social Sciences;MSc Management;FAU Erlangen-Nuernberg;Nuernberg
Master Degree;Law, Economics and Social Sciences;International Business and Management (MA);Osnabrueck University of Applied Sciences;Osnabrueck
Master Degree;Law, Economics and Social Sciences;Master's in Conflict Studies and Peacebuilding;Osnabrueck University;Osnabrueck
Master Degree;Law, Economics and Social Sciences;Economics;Osnabrueck University;Osnabrueck
Master Degree;Law, Economics and Social Sciences;Management in Non-Profit Organisations;Osnabrueck University of Applied Sciences;Osnabrueck
Master Degree;Law, Economics and Social Sciences;Master of Science in International Economics and Management;Paderborn University;Paderborn
Master Degree;Law, Economics and Social Sciences;Master of Arts in Development Studies;University of Passau;Passau
Master Degree;Law, Economics and Social Sciences;Master of Science in International Economics and Business;University of Passau;Passau
Master Degree;Law, Economics and Social Sciences;MSc Digital Health;Deggendorf Institute of Technology;Pfarrkirchen
Master Degree;Law, Economics and Social Sciences;MA International Tourism Development;Deggendorf Institute of Technology;Pfarrkirchen
Master Degree;Law, Economics and Social Sciences;MSc Global Public Health;Deggendorf Institute of Technology;Pfarrkirchen
Master Degree;Law, Economics and Social Sciences;National and International Administration and Policy with Fast-Track Doctoral Stream (MANIA);University of Potsdam;Potsdam
Master Degree;Law, Economics and Social Sciences;Economic Policy and Quantitative Methods (EPQM);University of Potsdam;Potsdam
Master Degree;Law, Economics and Social Sciences;Master in European Studies;Universitaet Regensburg;Regensburg
Master Degree;Law, Economics and Social Sciences;Economics;Universitaet Regensburg;Regensburg
Master Degree;Law, Economics and Social Sciences;Master of Science in Wood Technology;Rosenheim Technical University of Applied Sciences;Rosenheim
Master Degree;Law, Economics and Social Sciences;International Management, MA;Rosenheim Technical University of Applied Sciences;Rosenheim
Master Degree;Law, Economics and Social Sciences;International Management;htw saar - University of Applied Sciences;Saarbruecken
Master Degree;Law, Economics and Social Sciences;Social Protection (MSc);Hochschule Bonn-Rhein-Sieg;Sankt Augustin
Master Degree;Law, Economics and Social Sciences;Marketing (MSc);Hochschule Bonn-Rhein-Sieg;Sankt Augustin
Master Degree;Law, Economics and Social Sciences;International Business and Economics (MA);Schmalkalden University of Applied Sciences;Schmalkalden
Master Degree;Law, Economics and Social Sciences;Finance (MSc);Schmalkalden University of Applied Sciences;Schmalkalden
Master Degree;Law, Economics and Social Sciences;Roads to Democracies – Historical and Contemporary Perspectives on Politics and Culture;University of Siegen;Siegen
Master Degree;Law, Economics and Social Sciences;Economic Policy;University of Siegen;Siegen
Master Degree;Law, Economics and Social Sciences;Human Computer Interaction (HCI);University of Siegen;Siegen
Master Degree;Law, Economics and Social Sciences;MSc Systems Engineering & Engineering Management;South Westphalia University of Applied Sciences;Soest
Master Degree;Law, Economics and Social Sciences;MA International Management & Information Systems (IMIS);South Westphalia University of Applied Sciences;Soest
Master Degree;Law, Economics and Social Sciences;Tourism Development Strategies (TDS);Stralsund University of Applied Sciences;Stralsund
Master Degree;Law, Economics and Social Sciences;International Innovation Management (INNO);Stralsund University of Applied Sciences;Stralsund
Master Degree;Law, Economics and Social Sciences;Master's in Sustainable Management & Technology (MSMT);Technical University Munich;Straubing
Master Degree;Law, Economics and Social Sciences;Advanced Industrial Engineering;Rosenheim Technical University of Applied Sciences;Traunstein
Master Degree;Law, Economics and Social Sciences;Master of Science in Economics;Trier University;Trier
Master Degree;Law, Economics and Social Sciences;Master of Arts in International Economics and Public Policy (MA IEPP);Trier University;Trier
Master Degree;Law, Economics and Social Sciences;Master of Science in Applied Statistics;Trier University;Trier
Master Degree;Law, Economics and Social Sciences;Master of Arts in European and East Asian Governance;Trier University;Trier
Master Degree;Law, Economics and Social Sciences;International Management & Sustainability MA, full-time;Ostbayerische Technische Hochschule Amberg-Weiden (OTH);Weiden in der Oberpfalz
Master Degree;Law, Economics and Social Sciences;European Urban Studies (EUS);Bauhaus-Universitaet Weimar;Weimar
Master Degree;Law, Economics and Social Sciences;Technology and Innovation Management;Harz University of Applied Sciences;Wernigerode
Master Degree;Law, Economics and Social Sciences;European Management (Master's Degree);Technical University of Applied Sciences Wildau;Wildau
Master Degree;Law, Economics and Social Sciences;Agriculture, Ecology & Societies (AGES);University of Kassel;Witzenhausen
Master Degree;Law, Economics and Social Sciences;Global Trade Management (Master of Arts);Worms University of Applied Sciences;Worms
Master Degree;Law, Economics and Social Sciences;Entrepreneurship (Master of Arts);Worms University of Applied Sciences;Worms
Master Degree;Law, Economics and Social Sciences;Applied Economics;University of Wuppertal;Wuppertal
Master Degree;Law, Economics and Social Sciences;International Economic Policy (IEP);Julius-Maximilians-Universitaet Wuerzburg;Wuerzburg
Master Degree;Law, Economics and Social Sciences;International Social Work with Refugees and Migrants;Technical University of Applied Sciences Wuerzburg-Schweinfurt (THWS);Wuerzburg
Master Degree;Law, Economics and Social Sciences;MEng Business Engineering;Technical University of Applied Sciences Wuerzburg-Schweinfurt (THWS);Wuerzburg
Master Degree;Law, Economics and Social Sciences;MA Managing Global Dynamics;Technical University of Applied Sciences Wuerzburg-Schweinfurt (THWS);Wuerzburg
Master Degree;Law, Economics and Social Sciences;Management International;Julius-Maximilians-Universitaet Wuerzburg;Wuerzburg
Master Degree;Law, Economics and Social Sciences;Ecosystem Services;Technische Universitaet Dresden;Zittau
Master Degree;Law, Economics and Social Sciences;International Management;Technische Universitaet Dresden;Zittau
Master Degree;Law, Economics and Social Sciences;International Management and Finance (Double Degree);Kaiserslautern University of Applied Sciences;Zweibruecken
Master Degree;Law, Economics and Social Sciences;Financial Services Management;Kaiserslautern University of Applied Sciences;Zweibruecken
Master Degree;Law, Economics and Social Sciences;Internet of Things (IoT) and Smart Systems;Westsaechsische Hochschule Zwickau - University of Applied Sciences Zwickau;Zwickau
Master Degree;Law, Economics and Social Sciences;Advanced Green Engineering and Sustainable Management;Westsaechsische Hochschule Zwickau - University of Applied Sciences Zwickau;Zwickau
Master Degree;Mathematics, Natural Sciences and IT;Software Systems Engineering;RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;Communications Engineering – Master's Study Programme;RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;Physics;RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;MSc Applied Geosciences – Energy & Mineral Resources (EMR);RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;Computer Engineering – Master's Study Programme;RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;Advanced Computational Methods in Civil Engineering;RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;Applied Geosciences – Applied Mineralogy and Crystallography (AMC);RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;Engineering Geohazards (MSc);RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;Data Science;RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;MSc Mineral Resources Engineering – Specialisation: Repository Safety;RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;European Mining Course (EMC);RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;Biomedical Engineering;RWTH Aachen University;Aachen
Master Degree;Mathematics, Natural Sciences and IT;International Energy Engineering (MEng), full-time;Ostbayerische Technische Hochschule Amberg-Weiden (OTH);Amberg
Master Degree;Mathematics, Natural Sciences and IT;Artificial Intelligence for Industrial Applications, (MSc) full-time;Ostbayerische Technische Hochschule Amberg-Weiden (OTH);Amberg
Master Degree;Mathematics, Natural Sciences and IT;Applied Biotechnology;Ansbach University of Applied Sciences;Ansbach
Master Degree;Mathematics, Natural Sciences and IT;International Master's in Materials Science & Engineering;University of Augsburg;Augsburg
Master Degree;Mathematics, Natural Sciences and IT;Master of Science in Software Engineering;University of Augsburg;Augsburg
Master Degree;Mathematics, Natural Sciences and IT;International Master's Programme in Mathematical Analysis and Modelling;University of Augsburg;Augsburg
Master Degree;Mathematics, Natural Sciences and IT;Interactive Media Systems;Augsburg Technical University of Applied Sciences;Augsburg
Master Degree;Mathematics, Natural Sciences and IT;Master of Science in International Software Systems Science;University of Bamberg;Bamberg
Master Degree;Mathematics, Natural Sciences and IT;Global Change Ecology (MSc);University of Bayreuth;Bayreuth
